name,type,type_id,n_dims,dims,offset,bytes
output.weight,PQ2_0,142,2,5120x248320,0,
output_norm.weight,F32,0,1,5120,337715200,20480
token_embd.weight,PQ2_0,142,2,5120x248320,337735680,
blk.0.attn_gate.weight,PQ2_0,142,2,5120x6144,675450880,
blk.0.attn_norm.weight,F32,0,1,5120,683806720,20480
blk.0.attn_qkv.weight,PQ2_0,142,2,5120x10240,683827200,
blk.0.ffn_down.weight,PQ2_0,142,2,17408x5120,697753600,
blk.0.ffn_gate.weight,PQ2_0,142,2,5120x17408,721428480,
blk.0.ffn_up.weight,PQ2_0,142,2,5120x17408,745103360,
blk.0.post_attention_norm.weight,F32,0,1,5120,768778240,20480
blk.0.ssm_a,F32,0,1,48,768798720,192
blk.0.ssm_alpha.weight,BF16,30,2,5120x48,768798912,491520
blk.0.ssm_beta.weight,BF16,30,2,5120x48,769290432,491520
blk.0.ssm_conv1d.weight,F32,0,2,4x10240,769781952,163840
blk.0.ssm_dt.bias,F32,0,1,48,769945792,192
blk.0.ssm_norm.weight,F32,0,1,128,769945984,512
blk.0.ssm_out.weight,PQ2_0,142,2,6144x5120,769946496,
blk.1.attn_gate.weight,PQ2_0,142,2,5120x6144,778302336,
blk.1.attn_norm.weight,F32,0,1,5120,786658176,20480
blk.1.attn_qkv.weight,PQ2_0,142,2,5120x10240,786678656,
blk.1.ffn_down.weight,PQ2_0,142,2,17408x5120,800605056,
blk.1.ffn_gate.weight,PQ2_0,142,2,5120x17408,824279936,
blk.1.ffn_up.weight,PQ2_0,142,2,5120x17408,847954816,
blk.1.post_attention_norm.weight,F32,0,1,5120,871629696,20480
blk.1.ssm_a,F32,0,1,48,871650176,192
blk.1.ssm_alpha.weight,BF16,30,2,5120x48,871650368,491520
blk.1.ssm_beta.weight,BF16,30,2,5120x48,872141888,491520
blk.1.ssm_conv1d.weight,F32,0,2,4x10240,872633408,163840
blk.1.ssm_dt.bias,F32,0,1,48,872797248,192
blk.1.ssm_norm.weight,F32,0,1,128,872797440,512
blk.1.ssm_out.weight,PQ2_0,142,2,6144x5120,872797952,
blk.2.attn_gate.weight,PQ2_0,142,2,5120x6144,881153792,
blk.2.attn_norm.weight,F32,0,1,5120,889509632,20480
blk.2.attn_qkv.weight,PQ2_0,142,2,5120x10240,889530112,
blk.2.ffn_down.weight,PQ2_0,142,2,17408x5120,903456512,
blk.2.ffn_gate.weight,PQ2_0,142,2,5120x17408,927131392,
blk.2.ffn_up.weight,PQ2_0,142,2,5120x17408,950806272,
blk.2.post_attention_norm.weight,F32,0,1,5120,974481152,20480
blk.2.ssm_a,F32,0,1,48,974501632,192
blk.2.ssm_alpha.weight,BF16,30,2,5120x48,974501824,491520
blk.2.ssm_beta.weight,BF16,30,2,5120x48,974993344,491520
blk.2.ssm_conv1d.weight,F32,0,2,4x10240,975484864,163840
blk.2.ssm_dt.bias,F32,0,1,48,975648704,192
blk.2.ssm_norm.weight,F32,0,1,128,975648896,512
blk.2.ssm_out.weight,PQ2_0,142,2,6144x5120,975649408,
blk.3.attn_k.weight,PQ2_0,142,2,5120x1024,984005248,
blk.3.attn_k_norm.weight,F32,0,1,256,985397888,1024
blk.3.attn_norm.weight,F32,0,1,5120,985398912,20480
blk.3.attn_output.weight,PQ2_0,142,2,6144x5120,985419392,
blk.3.attn_q.weight,PQ2_0,142,2,5120x12288,993775232,
blk.3.attn_q_norm.weight,F32,0,1,256,1010486912,1024
blk.3.attn_v.weight,PQ2_0,142,2,5120x1024,1010487936,
blk.3.ffn_down.weight,PQ2_0,142,2,17408x5120,1011880576,
blk.3.ffn_gate.weight,PQ2_0,142,2,5120x17408,1035555456,
blk.3.ffn_up.weight,PQ2_0,142,2,5120x17408,1059230336,
blk.3.post_attention_norm.weight,F32,0,1,5120,1082905216,20480
blk.4.attn_gate.weight,PQ2_0,142,2,5120x6144,1082925696,
blk.4.attn_norm.weight,F32,0,1,5120,1091281536,20480
blk.4.attn_qkv.weight,PQ2_0,142,2,5120x10240,1091302016,
blk.4.ffn_down.weight,PQ2_0,142,2,17408x5120,1105228416,
blk.4.ffn_gate.weight,PQ2_0,142,2,5120x17408,1128903296,
blk.4.ffn_up.weight,PQ2_0,142,2,5120x17408,1152578176,
blk.4.post_attention_norm.weight,F32,0,1,5120,1176253056,20480
blk.4.ssm_a,F32,0,1,48,1176273536,192
blk.4.ssm_alpha.weight,BF16,30,2,5120x48,1176273728,491520
blk.4.ssm_beta.weight,BF16,30,2,5120x48,1176765248,491520
blk.4.ssm_conv1d.weight,F32,0,2,4x10240,1177256768,163840
blk.4.ssm_dt.bias,F32,0,1,48,1177420608,192
blk.4.ssm_norm.weight,F32,0,1,128,1177420800,512
blk.4.ssm_out.weight,PQ2_0,142,2,6144x5120,1177421312,
blk.5.attn_gate.weight,PQ2_0,142,2,5120x6144,1185777152,
blk.5.attn_norm.weight,F32,0,1,5120,1194132992,20480
blk.5.attn_qkv.weight,PQ2_0,142,2,5120x10240,1194153472,
blk.5.ffn_down.weight,PQ2_0,142,2,17408x5120,1208079872,
blk.5.ffn_gate.weight,PQ2_0,142,2,5120x17408,1231754752,
blk.5.ffn_up.weight,PQ2_0,142,2,5120x17408,1255429632,
blk.5.post_attention_norm.weight,F32,0,1,5120,1279104512,20480
blk.5.ssm_a,F32,0,1,48,1279124992,192
blk.5.ssm_alpha.weight,BF16,30,2,5120x48,1279125184,491520
blk.5.ssm_beta.weight,BF16,30,2,5120x48,1279616704,491520
blk.5.ssm_conv1d.weight,F32,0,2,4x10240,1280108224,163840
blk.5.ssm_dt.bias,F32,0,1,48,1280272064,192
blk.5.ssm_norm.weight,F32,0,1,128,1280272256,512
blk.5.ssm_out.weight,PQ2_0,142,2,6144x5120,1280272768,
blk.6.attn_gate.weight,PQ2_0,142,2,5120x6144,1288628608,
blk.6.attn_norm.weight,F32,0,1,5120,1296984448,20480
blk.6.attn_qkv.weight,PQ2_0,142,2,5120x10240,1297004928,
blk.6.ffn_down.weight,PQ2_0,142,2,17408x5120,1310931328,
blk.6.ffn_gate.weight,PQ2_0,142,2,5120x17408,1334606208,
blk.6.ffn_up.weight,PQ2_0,142,2,5120x17408,1358281088,
blk.6.post_attention_norm.weight,F32,0,1,5120,1381955968,20480
blk.6.ssm_a,F32,0,1,48,1381976448,192
blk.6.ssm_alpha.weight,BF16,30,2,5120x48,1381976640,491520
blk.6.ssm_beta.weight,BF16,30,2,5120x48,1382468160,491520
blk.6.ssm_conv1d.weight,F32,0,2,4x10240,1382959680,163840
blk.6.ssm_dt.bias,F32,0,1,48,1383123520,192
blk.6.ssm_norm.weight,F32,0,1,128,1383123712,512
blk.6.ssm_out.weight,PQ2_0,142,2,6144x5120,1383124224,
blk.7.attn_k.weight,PQ2_0,142,2,5120x1024,1391480064,
blk.7.attn_k_norm.weight,F32,0,1,256,1392872704,1024
blk.7.attn_norm.weight,F32,0,1,5120,1392873728,20480
blk.7.attn_output.weight,PQ2_0,142,2,6144x5120,1392894208,
blk.7.attn_q.weight,PQ2_0,142,2,5120x12288,1401250048,
blk.7.attn_q_norm.weight,F32,0,1,256,1417961728,1024
blk.7.attn_v.weight,PQ2_0,142,2,5120x1024,1417962752,
blk.7.ffn_down.weight,PQ2_0,142,2,17408x5120,1419355392,
blk.7.ffn_gate.weight,PQ2_0,142,2,5120x17408,1443030272,
blk.7.ffn_up.weight,PQ2_0,142,2,5120x17408,1466705152,
blk.7.post_attention_norm.weight,F32,0,1,5120,1490380032,20480
blk.8.attn_gate.weight,PQ2_0,142,2,5120x6144,1490400512,
blk.8.attn_norm.weight,F32,0,1,5120,1498756352,20480
blk.8.attn_qkv.weight,PQ2_0,142,2,5120x10240,1498776832,
blk.8.ffn_down.weight,PQ2_0,142,2,17408x5120,1512703232,
blk.8.ffn_gate.weight,PQ2_0,142,2,5120x17408,1536378112,
blk.8.ffn_up.weight,PQ2_0,142,2,5120x17408,1560052992,
blk.8.post_attention_norm.weight,F32,0,1,5120,1583727872,20480
blk.8.ssm_a,F32,0,1,48,1583748352,192
blk.8.ssm_alpha.weight,BF16,30,2,5120x48,1583748544,491520
blk.8.ssm_beta.weight,BF16,30,2,5120x48,1584240064,491520
blk.8.ssm_conv1d.weight,F32,0,2,4x10240,1584731584,163840
blk.8.ssm_dt.bias,F32,0,1,48,1584895424,192
blk.8.ssm_norm.weight,F32,0,1,128,1584895616,512
blk.8.ssm_out.weight,PQ2_0,142,2,6144x5120,1584896128,
blk.9.attn_gate.weight,PQ2_0,142,2,5120x6144,1593251968,
blk.9.attn_norm.weight,F32,0,1,5120,1601607808,20480
blk.9.attn_qkv.weight,PQ2_0,142,2,5120x10240,1601628288,
blk.9.ffn_down.weight,PQ2_0,142,2,17408x5120,1615554688,
blk.9.ffn_gate.weight,PQ2_0,142,2,5120x17408,1639229568,
blk.9.ffn_up.weight,PQ2_0,142,2,5120x17408,1662904448,
blk.9.post_attention_norm.weight,F32,0,1,5120,1686579328,20480
blk.9.ssm_a,F32,0,1,48,1686599808,192
blk.9.ssm_alpha.weight,BF16,30,2,5120x48,1686600000,491520
blk.9.ssm_beta.weight,BF16,30,2,5120x48,1687091520,491520
blk.9.ssm_conv1d.weight,F32,0,2,4x10240,1687583040,163840
blk.9.ssm_dt.bias,F32,0,1,48,1687746880,192
blk.9.ssm_norm.weight,F32,0,1,128,1687747072,512
blk.9.ssm_out.weight,PQ2_0,142,2,6144x5120,1687747584,
blk.10.attn_gate.weight,PQ2_0,142,2,5120x6144,1696103424,
blk.10.attn_norm.weight,F32,0,1,5120,1704459264,20480
blk.10.attn_qkv.weight,PQ2_0,142,2,5120x10240,1704479744,
blk.10.ffn_down.weight,PQ2_0,142,2,17408x5120,1718406144,
blk.10.ffn_gate.weight,PQ2_0,142,2,5120x17408,1742081024,
blk.10.ffn_up.weight,PQ2_0,142,2,5120x17408,1765755904,
blk.10.post_attention_norm.weight,F32,0,1,5120,1789430784,20480
blk.10.ssm_a,F32,0,1,48,1789451264,192
blk.10.ssm_alpha.weight,BF16,30,2,5120x48,1789451456,491520
blk.10.ssm_beta.weight,BF16,30,2,5120x48,1789942976,491520
blk.10.ssm_conv1d.weight,F32,0,2,4x10240,1790434496,163840
blk.10.ssm_dt.bias,F32,0,1,48,1790598336,192
blk.10.ssm_norm.weight,F32,0,1,128,1790598528,512
blk.10.ssm_out.weight,PQ2_0,142,2,6144x5120,1790599040,
blk.11.attn_k.weight,PQ2_0,142,2,5120x1024,1798954880,
blk.11.attn_k_norm.weight,F32,0,1,256,1800347520,1024
blk.11.attn_norm.weight,F32,0,1,5120,1800348544,20480
blk.11.attn_output.weight,PQ2_0,142,2,6144x5120,1800369024,
blk.11.attn_q.weight,PQ2_0,142,2,5120x12288,1808724864,
blk.11.attn_q_norm.weight,F32,0,1,256,1825436544,1024
blk.11.attn_v.weight,PQ2_0,142,2,5120x1024,1825437568,
blk.11.ffn_down.weight,PQ2_0,142,2,17408x5120,1826830208,
blk.11.ffn_gate.weight,PQ2_0,142,2,5120x17408,1850505088,
blk.11.ffn_up.weight,PQ2_0,142,2,5120x17408,1874179968,
blk.11.post_attention_norm.weight,F32,0,1,5120,1897854848,20480
blk.12.attn_gate.weight,PQ2_0,142,2,5120x6144,1897875328,
blk.12.attn_norm.weight,F32,0,1,5120,1906231168,20480
blk.12.attn_qkv.weight,PQ2_0,142,2,5120x10240,1906251648,
blk.12.ffn_down.weight,PQ2_0,142,2,17408x5120,1920178048,
blk.12.ffn_gate.weight,PQ2_0,142,2,5120x17408,1943852928,
blk.12.ffn_up.weight,PQ2_0,142,2,5120x17408,1967527808,
blk.12.post_attention_norm.weight,F32,0,1,5120,1991202688,20480
blk.12.ssm_a,F32,0,1,48,1991223168,192
blk.12.ssm_alpha.weight,BF16,30,2,5120x48,1991223360,491520
blk.12.ssm_beta.weight,BF16,30,2,5120x48,1991714880,491520
blk.12.ssm_conv1d.weight,F32,0,2,4x10240,1992206400,163840
blk.12.ssm_dt.bias,F32,0,1,48,1992370240,192
blk.12.ssm_norm.weight,F32,0,1,128,1992370432,512
blk.12.ssm_out.weight,PQ2_0,142,2,6144x5120,1992370944,
blk.13.attn_gate.weight,PQ2_0,142,2,5120x6144,2000726784,
blk.13.attn_norm.weight,F32,0,1,5120,2009082624,20480
blk.13.attn_qkv.weight,PQ2_0,142,2,5120x10240,2009103104,
blk.13.ffn_down.weight,PQ2_0,142,2,17408x5120,2023029504,
blk.13.ffn_gate.weight,PQ2_0,142,2,5120x17408,2046704384,
blk.13.ffn_up.weight,PQ2_0,142,2,5120x17408,2070379264,
blk.13.post_attention_norm.weight,F32,0,1,5120,2094054144,20480
blk.13.ssm_a,F32,0,1,48,2094074624,192
blk.13.ssm_alpha.weight,BF16,30,2,5120x48,2094074816,491520
blk.13.ssm_beta.weight,BF16,30,2,5120x48,2094566336,491520
blk.13.ssm_conv1d.weight,F32,0,2,4x10240,2095057856,163840
blk.13.ssm_dt.bias,F32,0,1,48,2095221696,192
blk.13.ssm_norm.weight,F32,0,1,128,2095221888,512
blk.13.ssm_out.weight,PQ2_0,142,2,6144x5120,2095222400,
