name                                  type        shape                             offset
------------------------------------------------------------------------------------------
output.weight                         PQ2_0       5120x248320                            0
output_norm.weight                    F32         5120                           337715200
token_embd.weight                     PQ2_0       5120x248320                    337735680
blk.0.attn_gate.weight                PQ2_0       5120x6144                      675450880
blk.0.attn_norm.weight                F32         5120                           683806720
blk.0.attn_qkv.weight                 PQ2_0       5120x10240                     683827200
blk.0.ffn_down.weight                 PQ2_0       17408x5120                     697753600
blk.0.ffn_gate.weight                 PQ2_0       5120x17408                     721428480
blk.0.ffn_up.weight                   PQ2_0       5120x17408                     745103360
blk.0.post_attention_norm.weight      F32         5120                           768778240
blk.0.ssm_a                           F32         48                             768798720
blk.0.ssm_alpha.weight                BF16        5120x48                        768798912
blk.0.ssm_beta.weight                 BF16        5120x48                        769290432
blk.0.ssm_conv1d.weight               F32         4x10240                        769781952
blk.0.ssm_dt.bias                     F32         48                             769945792
blk.0.ssm_norm.weight                 F32         128                            769945984
blk.0.ssm_out.weight                  PQ2_0       6144x5120                      769946496
blk.1.attn_gate.weight                PQ2_0       5120x6144                      778302336
blk.1.attn_norm.weight                F32         5120                           786658176
blk.1.attn_qkv.weight                 PQ2_0       5120x10240                     786678656
blk.1.ffn_down.weight                 PQ2_0       17408x5120                     800605056
blk.1.ffn_gate.weight                 PQ2_0       5120x17408                     824279936
blk.1.ffn_up.weight                   PQ2_0       5120x17408                     847954816
blk.1.post_attention_norm.weight      F32         5120                           871629696
blk.1.ssm_a                           F32         48                             871650176
blk.1.ssm_alpha.weight                BF16        5120x48                        871650368
blk.1.ssm_beta.weight                 BF16        5120x48                        872141888
blk.1.ssm_conv1d.weight               F32         4x10240                        872633408
blk.1.ssm_dt.bias                     F32         48                             872797248
blk.1.ssm_norm.weight                 F32         128                            872797440
blk.1.ssm_out.weight                  PQ2_0       6144x5120                      872797952
blk.2.attn_gate.weight                PQ2_0       5120x6144                      881153792
blk.2.attn_norm.weight                F32         5120                           889509632
blk.2.attn_qkv.weight                 PQ2_0       5120x10240                     889530112
blk.2.ffn_down.weight                 PQ2_0       17408x5120                     903456512
blk.2.ffn_gate.weight                 PQ2_0       5120x17408                     927131392
blk.2.ffn_up.weight                   PQ2_0       5120x17408                     950806272
blk.2.post_attention_norm.weight      F32         5120                           974481152
blk.2.ssm_a                           F32         48                             974501632
blk.2.ssm_alpha.weight                BF16        5120x48                        974501824
blk.2.ssm_beta.weight                 BF16        5120x48                        974993344
blk.2.ssm_conv1d.weight               F32         4x10240                        975484864
blk.2.ssm_dt.bias                     F32         48                             975648704
blk.2.ssm_norm.weight                 F32         128                            975648896
blk.2.ssm_out.weight                  PQ2_0       6144x5120                      975649408
blk.3.attn_k.weight                   PQ2_0       5120x1024                      984005248
blk.3.attn_k_norm.weight              F32         256                            985397888
blk.3.attn_norm.weight                F32         5120                           985398912
blk.3.attn_output.weight              PQ2_0       6144x5120                      985419392
blk.3.attn_q.weight                   PQ2_0       5120x12288                     993775232
blk.3.attn_q_norm.weight              F32         256                           1010486912
blk.3.attn_v.weight                   PQ2_0       5120x1024                     1010487936
blk.3.ffn_down.weight                 PQ2_0       17408x5120                    1011880576
blk.3.ffn_gate.weight                 PQ2_0       5120x17408                    1035555456
blk.3.ffn_up.weight                   PQ2_0       5120x17408                    1059230336
blk.3.post_attention_norm.weight      F32         5120                          1082905216
blk.4.attn_gate.weight                PQ2_0       5120x6144                     1082925696
blk.4.attn_norm.weight                F32         5120                          1091281536
blk.4.attn_qkv.weight                 PQ2_0       5120x10240                    1091302016
blk.4.ffn_down.weight                 PQ2_0       17408x5120                    1105228416
blk.4.ffn_gate.weight                 PQ2_0       5120x17408                    1128903296
blk.4.ffn_up.weight                   PQ2_0       5120x17408                    1152578176
blk.4.post_attention_norm.weight      F32         5120                          1176253056
blk.4.ssm_a                           F32         48                            1176273536
blk.4.ssm_alpha.weight                BF16        5120x48                       1176273728
blk.4.ssm_beta.weight                 BF16        5120x48                       1176765248
blk.4.ssm_conv1d.weight               F32         4x10240                       1177256768
blk.4.ssm_dt.bias                     F32         48                            1177420608
blk.4.ssm_norm.weight                 F32         128                           1177420800
blk.4.ssm_out.weight                  PQ2_0       6144x5120                     1177421312
blk.5.attn_gate.weight                PQ2_0       5120x6144                     1185777152
blk.5.attn_norm.weight                F32         5120                          1194132992
blk.5.attn_qkv.weight                 PQ2_0       5120x10240                    1194153472
blk.5.ffn_down.weight                 PQ2_0       17408x5120                    1208079872
blk.5.ffn_gate.weight                 PQ2_0       5120x17408                    1231754752
blk.5.ffn_up.weight                   PQ2_0       5120x17408                    1255429632
blk.5.post_attention_norm.weight      F32         5120                          1279104512
blk.5.ssm_a                           F32         48                            1279124992
blk.5.ssm_alpha.weight                BF16        5120x48                       1279125184
blk.5.ssm_beta.weight                 BF16        5120x48                       1279616704
blk.5.ssm_conv1d.weight               F32         4x10240                       1280108224
blk.5.ssm_dt.bias                     F32         48                            1280272064
blk.5.ssm_norm.weight                 F32         128                           1280272256
blk.5.ssm_out.weight                  PQ2_0       6144x5120                     1280272768
blk.6.attn_gate.weight                PQ2_0       5120x6144                     1288628608
blk.6.attn_norm.weight                F32         5120                          1296984448
blk.6.attn_qkv.weight                 PQ2_0       5120x10240                    1297004928
blk.6.ffn_down.weight                 PQ2_0       17408x5120                    1310931328
blk.6.ffn_gate.weight                 PQ2_0       5120x17408                    1334606208
blk.6.ffn_up.weight                   PQ2_0       5120x17408                    1358281088
blk.6.post_attention_norm.weight      F32         5120                          1381955968
blk.6.ssm_a                           F32         48                            1381976448
blk.6.ssm_alpha.weight                BF16        5120x48                       1381976640
blk.6.ssm_beta.weight                 BF16        5120x48                       1382468160
blk.6.ssm_conv1d.weight               F32         4x10240                       1382959680
blk.6.ssm_dt.bias                     F32         48                            1383123520
blk.6.ssm_norm.weight                 F32         128                           1383123712
blk.6.ssm_out.weight                  PQ2_0       6144x5120                     1383124224
blk.7.attn_k.weight                   PQ2_0       5120x1024                     1391480064
blk.7.attn_k_norm.weight              F32         256                           1392872704
blk.7.attn_norm.weight                F32         5120                          1392873728
blk.7.attn_output.weight              PQ2_0       6144x5120                     1392894208
blk.7.attn_q.weight                   PQ2_0       5120x12288                    1401250048
blk.7.attn_q_norm.weight              F32         256                           1417961728
blk.7.attn_v.weight                   PQ2_0       5120x1024                     1417962752
blk.7.ffn_down.weight                 PQ2_0       17408x5120                    1419355392
blk.7.ffn_gate.weight                 PQ2_0       5120x17408                    1443030272
blk.7.ffn_up.weight                   PQ2_0       5120x17408                    1466705152
blk.7.post_attention_norm.weight      F32         5120                          1490380032
blk.8.attn_gate.weight                PQ2_0       5120x6144                     1490400512
blk.8.attn_norm.weight                F32         5120                          1498756352
blk.8.attn_qkv.weight                 PQ2_0       5120x10240                    1498776832
blk.8.ffn_down.weight                 PQ2_0       17408x5120                    1512703232
blk.8.ffn_gate.weight                 PQ2_0       5120x17408                    1536378112
blk.8.ffn_up.weight                   PQ2_0       5120x17408                    1560052992
blk.8.post_attention_norm.weight      F32         5120                          1583727872
blk.8.ssm_a                           F32         48                            1583748352
blk.8.ssm_alpha.weight                BF16        5120x48                       1583748544
blk.8.ssm_beta.weight                 BF16        5120x48                       1584240064
blk.8.ssm_conv1d.weight               F32         4x10240                       1584731584
blk.8.ssm_dt.bias                     F32         48                            1584895424
blk.8.ssm_norm.weight                 F32         128                           1584895616
blk.8.ssm_out.weight                  PQ2_0       6144x5120                     1584896128
blk.9.attn_gate.weight                PQ2_0       5120x6144                     1593251968
blk.9.attn_norm.weight                F32         5120                          1601607808
blk.9.attn_qkv.weight                 PQ2_0       5120x10240                    1601628288
blk.9.ffn_down.weight                 PQ2_0       17408x5120                    1615554688
blk.9.ffn_gate.weight                 PQ2_0       5120x17408                    1639229568
blk.9.ffn_up.weight                   PQ2_0       5120x17408                    1662904448
blk.9.post_attention_norm.weight      F32         5120                          1686579328
blk.9.ssm_a                           F32         48                            1686599808
blk.9.ssm_alpha.weight                BF16        5120x48                       1686600000
blk.9.ssm_beta.weight                 BF16        5120x48                       1687091520
blk.9.ssm_conv1d.weight               F32         4x10240                       1687583040
blk.9.ssm_dt.bias                     F32         48                            1687746880
blk.9.ssm_norm.weight                 F32         128                           1687747072
blk.9.ssm_out.weight                  PQ2_0       6144x5120                     1687747584
blk.10.attn_gate.weight               PQ2_0       5120x6144                     1696103424
blk.10.attn_norm.weight               F32         5120                          1704459264
blk.10.attn_qkv.weight                PQ2_0       5120x10240                    1704479744
blk.10.ffn_down.weight                PQ2_0       17408x5120                    1718406144
blk.10.ffn_gate.weight                PQ2_0       5120x17408                    1742081024
blk.10.ffn_up.weight                  PQ2_0       5120x17408                    1765755904
blk.10.post_attention_norm.weight     F32         5120                          1789430784
blk.10.ssm_a                          F32         48                            1789451264
blk.10.ssm_alpha.weight               BF16        5120x48                       1789451456
blk.10.ssm_beta.weight                BF16        5120x48                       1789942976
blk.10.ssm_conv1d.weight              F32         4x10240                       1790434496
blk.10.ssm_dt.bias                    F32         48                            1790598336
blk.10.ssm_norm.weight                F32         128                           1790598528
blk.10.ssm_out.weight                 PQ2_0       6144x5120                     1790599040
blk.11.attn_k.weight                  PQ2_0       5120x1024                     1798954880
blk.11.attn_k_norm.weight             F32         256                           1800347520
blk.11.attn_norm.weight               F32         5120                          1800348544
blk.11.attn_output.weight             PQ2_0       6144x5120                     1800369024
blk.11.attn_q.weight                  PQ2_0       5120x12288                    1808724864
blk.11.attn_q_norm.weight             F32         256                           1825436544
blk.11.attn_v.weight                  PQ2_0       5120x1024                     1825437568
blk.11.ffn_down.weight                PQ2_0       17408x5120                    1826830208
blk.11.ffn_gate.weight                PQ2_0       5120x17408                    1850505088
blk.11.ffn_up.weight                  PQ2_0       5120x17408                    1874179968
blk.11.post_attention_norm.weight     F32         5120                          1897854848
blk.12.attn_gate.weight               PQ2_0       5120x6144                     1897875328
blk.12.attn_norm.weight               F32         5120                          1906231168
blk.12.attn_qkv.weight                PQ2_0       5120x10240                    1906251648
blk.12.ffn_down.weight                PQ2_0       17408x5120                    1920178048
blk.12.ffn_gate.weight                PQ2_0       5120x17408                    1943852928
blk.12.ffn_up.weight                  PQ2_0       5120x17408                    1967527808
blk.12.post_attention_norm.weight     F32         5120                          1991202688
blk.12.ssm_a                          F32         48                            1991223168
blk.12.ssm_alpha.weight               BF16        5120x48                       1991223360
blk.12.ssm_beta.weight                BF16        5120x48                       1991714880
blk.12.ssm_conv1d.weight              F32         4x10240                       1992206400
blk.12.ssm_dt.bias                    F32         48                            1992370240
blk.12.ssm_norm.weight                F32         128                           1992370432
blk.12.ssm_out.weight                 PQ2_0       6144x5120                     1992370944
blk.13.attn_gate.weight               PQ2_0       5120x6144                     2000726784
blk.13.attn_norm.weight               F32         5120                          2009082624
blk.13.attn_qkv.weight                PQ2_0       5120x10240                    2009103104
blk.13.ffn_down.weight                PQ2_0       17408x5120                    2023029504
blk.13.ffn_gate.weight                PQ2_0       5120x17408                    2046704384
blk.13.ffn_up.weight                  PQ2_0       5120x17408                    2070379264
blk.13.post_attention_norm.weight     F32         5120                          2094054144
blk.13.ssm_a                          F32         48                            2094074624
blk.13.ssm_alpha.weight               BF16        5120x48                       2094074816
blk.13.ssm_beta.weight                BF16        5120x48                       2094566336
blk.13.ssm_conv1d.weight              F32         4x10240                       2095057856
blk.13.ssm_dt.bias                    F32         48                            2095221696
blk.13.ssm_norm.weight                F32         128                           2095221888
blk.13.ssm_out.weight                 PQ2_0       6144x5120                     2095222400
blk.14.attn_gate.weight               PQ2_0       5120x6144                     2103578240
blk.14.attn_norm.weight               F32         5120                          2111934080
blk.14.attn_qkv.weight                PQ2_0       5120x10240                    2111954560
blk.14.ffn_down.weight                PQ2_0       17408x5120                    2125880960
blk.14.ffn_gate.weight                PQ2_0       5120x17408                    2149555840
blk.14.ffn_up.weight                  PQ2_0       5120x17408                    2173230720
blk.14.post_attention_norm.weight     F32         5120                          2196905600
blk.14.ssm_a                          F32         48                            2196926080
blk.14.ssm_alpha.weight               BF16        5120x48                       2196926272
blk.14.ssm_beta.weight                BF16        5120x48                       2197417792
blk.14.ssm_conv1d.weight              F32         4x10240                       2197909312
blk.14.ssm_dt.bias                    F32         48                            2198073152
blk.14.ssm_norm.weight                F32         128                           2198073344
blk.14.ssm_out.weight                 PQ2_0       6144x5120                     2198073856
blk.15.attn_k.weight                  PQ2_0       5120x1024                     2206429696
blk.15.attn_k_norm.weight             F32         256                           2207822336
blk.15.attn_norm.weight               F32         5120                          2207823360
blk.15.attn_output.weight             PQ2_0       6144x5120                     2207843840
blk.15.attn_q.weight                  PQ2_0       5120x12288                    2216199680
blk.15.attn_q_norm.weight             F32         256                           2232911360
blk.15.attn_v.weight                  PQ2_0       5120x1024                     2232912384
blk.15.ffn_down.weight                PQ2_0       17408x5120                    2234305024
blk.15.ffn_gate.weight                PQ2_0       5120x17408                    2257979904
blk.15.ffn_up.weight                  PQ2_0       5120x17408                    2281654784
blk.15.post_attention_norm.weight     F32         5120                          2305329664
blk.16.attn_gate.weight               PQ2_0       5120x6144                     2305350144
blk.16.attn_norm.weight               F32         5120                          2313705984
blk.16.attn_qkv.weight                PQ2_0       5120x10240                    2313726464
blk.16.ffn_down.weight                PQ2_0       17408x5120                    2327652864
blk.16.ffn_gate.weight                PQ2_0       5120x17408                    2351327744
blk.16.ffn_up.weight                  PQ2_0       5120x17408                    2375002624
blk.16.post_attention_norm.weight     F32         5120                          2398677504
blk.16.ssm_a                          F32         48                            2398697984
blk.16.ssm_alpha.weight               BF16        5120x48                       2398698176
blk.16.ssm_beta.weight                BF16        5120x48                       2399189696
blk.16.ssm_conv1d.weight              F32         4x10240                       2399681216
blk.16.ssm_dt.bias                    F32         48                            2399845056
blk.16.ssm_norm.weight                F32         128                           2399845248
blk.16.ssm_out.weight                 PQ2_0       6144x5120                     2399845760
blk.17.attn_gate.weight               PQ2_0       5120x6144                     2408201600
blk.17.attn_norm.weight               F32         5120                          2416557440
blk.17.attn_qkv.weight                PQ2_0       5120x10240                    2416577920
blk.17.ffn_down.weight                PQ2_0       17408x5120                    2430504320
blk.17.ffn_gate.weight                PQ2_0       5120x17408                    2454179200
blk.17.ffn_up.weight                  PQ2_0       5120x17408                    2477854080
blk.17.post_attention_norm.weight     F32         5120                          2501528960
blk.17.ssm_a                          F32         48                            2501549440
blk.17.ssm_alpha.weight               BF16        5120x48                       2501549632
blk.17.ssm_beta.weight                BF16        5120x48                       2502041152
blk.17.ssm_conv1d.weight              F32         4x10240                       2502532672
blk.17.ssm_dt.bias                    F32         48                            2502696512
blk.17.ssm_norm.weight                F32         128                           2502696704
blk.17.ssm_out.weight                 PQ2_0       6144x5120                     2502697216
blk.18.attn_gate.weight               PQ2_0       5120x6144                     2511053056
blk.18.attn_norm.weight               F32         5120                          2519408896
blk.18.attn_qkv.weight                PQ2_0       5120x10240                    2519429376
blk.18.ffn_down.weight                PQ2_0       17408x5120                    2533355776
blk.18.ffn_gate.weight                PQ2_0       5120x17408                    2557030656
blk.18.ffn_up.weight                  PQ2_0       5120x17408                    2580705536
blk.18.post_attention_norm.weight     F32         5120                          2604380416
blk.18.ssm_a                          F32         48                            2604400896
blk.18.ssm_alpha.weight               BF16        5120x48                       2604401088
blk.18.ssm_beta.weight                BF16        5120x48                       2604892608
blk.18.ssm_conv1d.weight              F32         4x10240                       2605384128
blk.18.ssm_dt.bias                    F32         48                            2605547968
blk.18.ssm_norm.weight                F32         128                           2605548160
blk.18.ssm_out.weight                 PQ2_0       6144x5120                     2605548672
blk.19.attn_k.weight                  PQ2_0       5120x1024                     2613904512
blk.19.attn_k_norm.weight             F32         256                           2615297152
blk.19.attn_norm.weight               F32         5120                          2615298176
blk.19.attn_output.weight             PQ2_0       6144x5120                     2615318656
blk.19.attn_q.weight                  PQ2_0       5120x12288                    2623674496
blk.19.attn_q_norm.weight             F32         256                           2640386176
blk.19.attn_v.weight                  PQ2_0       5120x1024                     2640387200
blk.19.ffn_down.weight                PQ2_0       17408x5120                    2641779840
blk.19.ffn_gate.weight                PQ2_0       5120x17408                    2665454720
blk.19.ffn_up.weight                  PQ2_0       5120x17408                    2689129600
blk.19.post_attention_norm.weight     F32         5120                          2712804480
blk.20.attn_gate.weight               PQ2_0       5120x6144                     2712824960
blk.20.attn_norm.weight               F32         5120                          2721180800
blk.20.attn_qkv.weight                PQ2_0       5120x10240                    2721201280
blk.20.ffn_down.weight                PQ2_0       17408x5120                    2735127680
blk.20.ffn_gate.weight                PQ2_0       5120x17408                    2758802560
blk.20.ffn_up.weight                  PQ2_0       5120x17408                    2782477440
blk.20.post_attention_norm.weight     F32         5120                          2806152320
blk.20.ssm_a                          F32         48                            2806172800
blk.20.ssm_alpha.weight               BF16        5120x48                       2806172992
blk.20.ssm_beta.weight                BF16        5120x48                       2806664512
blk.20.ssm_conv1d.weight              F32         4x10240                       2807156032
blk.20.ssm_dt.bias                    F32         48                            2807319872
blk.20.ssm_norm.weight                F32         128                           2807320064
blk.20.ssm_out.weight                 PQ2_0       6144x5120                     2807320576
blk.21.attn_gate.weight               PQ2_0       5120x6144                     2815676416
blk.21.attn_norm.weight               F32         5120                          2824032256
blk.21.attn_qkv.weight                PQ2_0       5120x10240                    2824052736
blk.21.ffn_down.weight                PQ2_0       17408x5120                    2837979136
blk.21.ffn_gate.weight                PQ2_0       5120x17408                    2861654016
blk.21.ffn_up.weight                  PQ2_0       5120x17408                    2885328896
blk.21.post_attention_norm.weight     F32         5120                          2909003776
blk.21.ssm_a                          F32         48                            2909024256
blk.21.ssm_alpha.weight               BF16        5120x48                       2909024448
blk.21.ssm_beta.weight                BF16        5120x48                       2909515968
blk.21.ssm_conv1d.weight              F32         4x10240                       2910007488
blk.21.ssm_dt.bias                    F32         48                            2910171328
blk.21.ssm_norm.weight                F32         128                           2910171520
blk.21.ssm_out.weight                 PQ2_0       6144x5120                     2910172032
blk.22.attn_gate.weight               PQ2_0       5120x6144                     2918527872
blk.22.attn_norm.weight               F32         5120                          2926883712
blk.22.attn_qkv.weight                PQ2_0       5120x10240                    2926904192
blk.22.ffn_down.weight                PQ2_0       17408x5120                    2940830592
blk.22.ffn_gate.weight                PQ2_0       5120x17408                    2964505472
blk.22.ffn_up.weight                  PQ2_0       5120x17408                    2988180352
blk.22.post_attention_norm.weight     F32         5120                          3011855232
blk.22.ssm_a                          F32         48                            3011875712
blk.22.ssm_alpha.weight               BF16        5120x48                       3011875904
blk.22.ssm_beta.weight                BF16        5120x48                       3012367424
blk.22.ssm_conv1d.weight              F32         4x10240                       3012858944
blk.22.ssm_dt.bias                    F32         48                            3013022784
blk.22.ssm_norm.weight                F32         128                           3013022976
blk.22.ssm_out.weight                 PQ2_0       6144x5120                     3013023488
blk.23.attn_k.weight                  PQ2_0       5120x1024                     3021379328
blk.23.attn_k_norm.weight             F32         256                           3022771968
blk.23.attn_norm.weight               F32         5120                          3022772992
blk.23.attn_output.weight             PQ2_0       6144x5120                     3022793472
blk.23.attn_q.weight                  PQ2_0       5120x12288                    3031149312
blk.23.attn_q_norm.weight             F32         256                           3047860992
blk.23.attn_v.weight                  PQ2_0       5120x1024                     3047862016
blk.23.ffn_down.weight                PQ2_0       17408x5120                    3049254656
blk.23.ffn_gate.weight                PQ2_0       5120x17408                    3072929536
blk.23.ffn_up.weight                  PQ2_0       5120x17408                    3096604416
blk.23.post_attention_norm.weight     F32         5120                          3120279296
blk.24.attn_gate.weight               PQ2_0       5120x6144                     3120299776
blk.24.attn_norm.weight               F32         5120                          3128655616
blk.24.attn_qkv.weight                PQ2_0       5120x10240                    3128676096
blk.24.ffn_down.weight                PQ2_0       17408x5120                    3142602496
blk.24.ffn_gate.weight                PQ2_0       5120x17408                    3166277376
blk.24.ffn_up.weight                  PQ2_0       5120x17408                    3189952256
blk.24.post_attention_norm.weight     F32         5120                          3213627136
blk.24.ssm_a                          F32         48                            3213647616
blk.24.ssm_alpha.weight               BF16        5120x48                       3213647808
blk.24.ssm_beta.weight                BF16        5120x48                       3214139328
blk.24.ssm_conv1d.weight              F32         4x10240                       3214630848
blk.24.ssm_dt.bias                    F32         48                            3214794688
blk.24.ssm_norm.weight                F32         128                           3214794880
blk.24.ssm_out.weight                 PQ2_0       6144x5120                     3214795392
blk.25.attn_gate.weight               PQ2_0       5120x6144                     3223151232
