name,type,type_id,n_dims,dims,offset,bytes
v.blk.0.attn_out.bias,F32,0,1,1152,0,4608
v.blk.0.attn_out.weight,Q8_0,8,2,1152x1152,4608,1410048
v.blk.0.attn_qkv.bias,F32,0,1,3456,1414656,13824
v.blk.0.attn_qkv.weight,Q8_0,8,2,1152x3456,1428480,4230144
v.blk.0.ffn_up.bias,F32,0,1,4304,5658624,17216
v.blk.0.ffn_up.weight,Q8_0,8,2,1152x4304,5675840,5268096
v.blk.0.ffn_down.bias,F32,0,1,1152,10943936,4608
v.blk.0.ffn_down.weight,F16,1,2,4304x1152,10948544,9916416
v.blk.0.ln1.bias,F32,0,1,1152,20864960,4608
v.blk.0.ln1.weight,F32,0,1,1152,20869568,4608
v.blk.0.ln2.bias,F32,0,1,1152,20874176,4608
v.blk.0.ln2.weight,F32,0,1,1152,20878784,4608
v.blk.1.attn_out.bias,F32,0,1,1152,20883392,4608
v.blk.1.attn_out.weight,Q8_0,8,2,1152x1152,20888000,1410048
v.blk.1.attn_qkv.bias,F32,0,1,3456,22298048,13824
v.blk.1.attn_qkv.weight,Q8_0,8,2,1152x3456,22311872,4230144
v.blk.1.ffn_up.bias,F32,0,1,4304,26542016,17216
v.blk.1.ffn_up.weight,Q8_0,8,2,1152x4304,26559232,5268096
v.blk.1.ffn_down.bias,F32,0,1,1152,31827328,4608
v.blk.1.ffn_down.weight,F16,1,2,4304x1152,31831936,9916416
v.blk.1.ln1.bias,F32,0,1,1152,41748352,4608
v.blk.1.ln1.weight,F32,0,1,1152,41752960,4608
v.blk.1.ln2.bias,F32,0,1,1152,41757568,4608
v.blk.1.ln2.weight,F32,0,1,1152,41762176,4608
v.blk.10.attn_out.bias,F32,0,1,1152,41766784,4608
v.blk.10.attn_out.weight,Q8_0,8,2,1152x1152,41771392,1410048
v.blk.10.attn_qkv.bias,F32,0,1,3456,43181440,13824
v.blk.10.attn_qkv.weight,Q8_0,8,2,1152x3456,43195264,4230144
v.blk.10.ffn_up.bias,F32,0,1,4304,47425408,17216
v.blk.10.ffn_up.weight,Q8_0,8,2,1152x4304,47442624,5268096
v.blk.10.ffn_down.bias,F32,0,1,1152,52710720,4608
v.blk.10.ffn_down.weight,F16,1,2,4304x1152,52715328,9916416
v.blk.10.ln1.bias,F32,0,1,1152,62631744,4608
v.blk.10.ln1.weight,F32,0,1,1152,62636352,4608
v.blk.10.ln2.bias,F32,0,1,1152,62640960,4608
v.blk.10.ln2.weight,F32,0,1,1152,62645568,4608
v.blk.11.attn_out.bias,F32,0,1,1152,62650176,4608
v.blk.11.attn_out.weight,Q8_0,8,2,1152x1152,62654784,1410048
v.blk.11.attn_qkv.bias,F32,0,1,3456,64064832,13824
v.blk.11.attn_qkv.weight,Q8_0,8,2,1152x3456,64078656,4230144
v.blk.11.ffn_up.bias,F32,0,1,4304,68308800,17216
v.blk.11.ffn_up.weight,Q8_0,8,2,1152x4304,68326016,5268096
v.blk.11.ffn_down.bias,F32,0,1,1152,73594112,4608
v.blk.11.ffn_down.weight,F16,1,2,4304x1152,73598720,9916416
v.blk.11.ln1.bias,F32,0,1,1152,83515136,4608
v.blk.11.ln1.weight,F32,0,1,1152,83519744,4608
v.blk.11.ln2.bias,F32,0,1,1152,83524352,4608
v.blk.11.ln2.weight,F32,0,1,1152,83528960,4608
v.blk.12.attn_out.bias,F32,0,1,1152,83533568,4608
v.blk.12.attn_out.weight,Q8_0,8,2,1152x1152,83538176,1410048
v.blk.12.attn_qkv.bias,F32,0,1,3456,84948224,13824
v.blk.12.attn_qkv.weight,Q8_0,8,2,1152x3456,84962048,4230144
v.blk.12.ffn_up.bias,F32,0,1,4304,89192192,17216
v.blk.12.ffn_up.weight,Q8_0,8,2,1152x4304,89209408,5268096
v.blk.12.ffn_down.bias,F32,0,1,1152,94477504,4608
v.blk.12.ffn_down.weight,F16,1,2,4304x1152,94482112,9916416
v.blk.12.ln1.bias,F32,0,1,1152,104398528,4608
v.blk.12.ln1.weight,F32,0,1,1152,104403136,4608
v.blk.12.ln2.bias,F32,0,1,1152,104407744,4608
v.blk.12.ln2.weight,F32,0,1,1152,104412352,4608
v.blk.13.attn_out.bias,F32,0,1,1152,104416960,4608
v.blk.13.attn_out.weight,Q8_0,8,2,1152x1152,104421568,1410048
v.blk.13.attn_qkv.bias,F32,0,1,3456,105831616,13824
v.blk.13.attn_qkv.weight,Q8_0,8,2,1152x3456,105845440,4230144
v.blk.13.ffn_up.bias,F32,0,1,4304,110075584,17216
v.blk.13.ffn_up.weight,Q8_0,8,2,1152x4304,110092800,5268096
v.blk.13.ffn_down.bias,F32,0,1,1152,115360896,4608
v.blk.13.ffn_down.weight,F16,1,2,4304x1152,115365504,9916416
v.blk.13.ln1.bias,F32,0,1,1152,125281920,4608
v.blk.13.ln1.weight,F32,0,1,1152,125286528,4608
v.blk.13.ln2.bias,F32,0,1,1152,125291136,4608
v.blk.13.ln2.weight,F32,0,1,1152,125295744,4608
v.blk.14.attn_out.bias,F32,0,1,1152,125300352,4608
v.blk.14.attn_out.weight,Q8_0,8,2,1152x1152,125304960,1410048
v.blk.14.attn_qkv.bias,F32,0,1,3456,126715008,13824
v.blk.14.attn_qkv.weight,Q8_0,8,2,1152x3456,126728832,4230144
v.blk.14.ffn_up.bias,F32,0,1,4304,130958976,17216
v.blk.14.ffn_up.weight,Q8_0,8,2,1152x4304,130976192,5268096
v.blk.14.ffn_down.bias,F32,0,1,1152,136244288,4608
v.blk.14.ffn_down.weight,F16,1,2,4304x1152,136248896,9916416
v.blk.14.ln1.bias,F32,0,1,1152,146165312,4608
v.blk.14.ln1.weight,F32,0,1,1152,146169920,4608
v.blk.14.ln2.bias,F32,0,1,1152,146174528,4608
v.blk.14.ln2.weight,F32,0,1,1152,146179136,4608
v.blk.15.attn_out.bias,F32,0,1,1152,146183744,4608
v.blk.15.attn_out.weight,Q8_0,8,2,1152x1152,146188352,1410048
v.blk.15.attn_qkv.bias,F32,0,1,3456,147598400,13824
v.blk.15.attn_qkv.weight,Q8_0,8,2,1152x3456,147612224,4230144
v.blk.15.ffn_up.bias,F32,0,1,4304,151842368,17216
v.blk.15.ffn_up.weight,Q8_0,8,2,1152x4304,151859584,5268096
v.blk.15.ffn_down.bias,F32,0,1,1152,157127680,4608
v.blk.15.ffn_down.weight,F16,1,2,4304x1152,157132288,9916416
v.blk.15.ln1.bias,F32,0,1,1152,167048704,4608
v.blk.15.ln1.weight,F32,0,1,1152,167053312,4608
v.blk.15.ln2.bias,F32,0,1,1152,167057920,4608
v.blk.15.ln2.weight,F32,0,1,1152,167062528,4608
v.blk.16.attn_out.bias,F32,0,1,1152,167067136,4608
v.blk.16.attn_out.weight,Q8_0,8,2,1152x1152,167071744,1410048
v.blk.16.attn_qkv.bias,F32,0,1,3456,168481792,13824
v.blk.16.attn_qkv.weight,Q8_0,8,2,1152x3456,168495616,4230144
v.blk.16.ffn_up.bias,F32,0,1,4304,172725760,17216
v.blk.16.ffn_up.weight,Q8_0,8,2,1152x4304,172742976,5268096
v.blk.16.ffn_down.bias,F32,0,1,1152,178011072,4608
v.blk.16.ffn_down.weight,F16,1,2,4304x1152,178015680,9916416
v.blk.16.ln1.bias,F32,0,1,1152,187932096,4608
v.blk.16.ln1.weight,F32,0,1,1152,187936704,4608
v.blk.16.ln2.bias,F32,0,1,1152,187941312,4608
v.blk.16.ln2.weight,F32,0,1,1152,187945920,4608
v.blk.17.attn_out.bias,F32,0,1,1152,187950528,4608
v.blk.17.attn_out.weight,Q8_0,8,2,1152x1152,187955136,1410048
v.blk.17.attn_qkv.bias,F32,0,1,3456,189365184,13824
v.blk.17.attn_qkv.weight,Q8_0,8,2,1152x3456,189379008,4230144
v.blk.17.ffn_up.bias,F32,0,1,4304,193609152,17216
v.blk.17.ffn_up.weight,Q8_0,8,2,1152x4304,193626368,5268096
v.blk.17.ffn_down.bias,F32,0,1,1152,198894464,4608
v.blk.17.ffn_down.weight,F16,1,2,4304x1152,198899072,9916416
v.blk.17.ln1.bias,F32,0,1,1152,208815488,4608
v.blk.17.ln1.weight,F32,0,1,1152,208820096,4608
v.blk.17.ln2.bias,F32,0,1,1152,208824704,4608
v.blk.17.ln2.weight,F32,0,1,1152,208829312,4608
v.blk.18.attn_out.bias,F32,0,1,1152,208833920,4608
v.blk.18.attn_out.weight,Q8_0,8,2,1152x1152,208838528,1410048
v.blk.18.attn_qkv.bias,F32,0,1,3456,210248576,13824
v.blk.18.attn_qkv.weight,Q8_0,8,2,1152x3456,210262400,4230144
v.blk.18.ffn_up.bias,F32,0,1,4304,214492544,17216
v.blk.18.ffn_up.weight,Q8_0,8,2,1152x4304,214509760,5268096
v.blk.18.ffn_down.bias,F32,0,1,1152,219777856,4608
v.blk.18.ffn_down.weight,F16,1,2,4304x1152,219782464,9916416
v.blk.18.ln1.bias,F32,0,1,1152,229698880,4608
v.blk.18.ln1.weight,F32,0,1,1152,229703488,4608
v.blk.18.ln2.bias,F32,0,1,1152,229708096,4608
v.blk.18.ln2.weight,F32,0,1,1152,229712704,4608
v.blk.19.attn_out.bias,F32,0,1,1152,229717312,4608
v.blk.19.attn_out.weight,Q8_0,8,2,1152x1152,229721920,1410048
v.blk.19.attn_qkv.bias,F32,0,1,3456,231131968,13824
v.blk.19.attn_qkv.weight,Q8_0,8,2,1152x3456,231145792,4230144
v.blk.19.ffn_up.bias,F32,0,1,4304,235375936,17216
v.blk.19.ffn_up.weight,Q8_0,8,2,1152x4304,235393152,5268096
v.blk.19.ffn_down.bias,F32,0,1,1152,240661248,4608
v.blk.19.ffn_down.weight,F16,1,2,4304x1152,240665856,9916416
